,Speed (thousands of feet per second),Altitude (thousands of feet)
0,467.0,246.0
1,467.0,245.0
2,467.0,244.0
3,467.0,243.0
4,467.0,242.0
5,467.0,240.99999999999997
6,466.00000000000006,240.0
7,466.00000000000006,238.99999999999997
8,466.00000000000006,238.0
9,466.00000000000006,236.99999999999997
10,466.00000000000006,236.0
11,466.00000000000006,234.99999999999997
12,466.00000000000006,234.0
13,466.00000000000006,232.99999999999997
14,465.0,232.0
15,465.0,230.99999999999997
16,465.0,230.0
17,465.0,229.0
18,465.0,228.0
19,465.0,227.0
20,465.0,226.00000000000003
21,465.0,225.0
22,465.0,224.0
23,464.0,223.0
24,464.0,222.00000000000003
25,464.0,221.0
26,464.0,220.0
27,464.0,219.0
28,464.0,218.0
29,464.0,217.0
30,464.0,216.0
31,464.0,215.0
32,463.0,214.0
33,463.0,213.0
34,463.0,212.0
35,463.0,210.99999999999997
36,463.0,210.0
37,463.0,209.0
38,463.0,208.0
39,463.0,206.99999999999997
40,462.0,206.0
41,462.0,205.0
42,462.0,204.0
43,462.0,202.99999999999997
44,462.0,202.0
45,462.0,201.0
46,462.0,200.0
47,461.00000000000006,198.99999999999997
48,461.00000000000006,198.0
49,461.00000000000006,197.0
50,461.00000000000006,196.0
51,461.00000000000006,195.0
52,461.00000000000006,194.0
53,461.00000000000006,193.0
54,461.00000000000006,192.00000000000003
55,460.0,191.0
56,460.0,190.0
57,460.0,189.0
58,460.0,188.00000000000003
59,460.0,187.0
60,460.0,186.0
61,460.0,185.0
62,459.0,184.00000000000003
63,459.0,183.0
64,459.0,182.0
65,459.0,181.0
66,459.0,180.00000000000003
67,459.0,179.0
68,459.0,178.0
69,458.0,176.99999999999997
70,458.0,176.0
71,458.0,175.0
72,458.0,174.0
73,458.0,172.99999999999997
74,458.0,172.0
75,458.0,171.0
76,458.0,170.0
77,457.00000000000006,168.99999999999997
78,457.00000000000006,168.0
79,457.00000000000006,167.0
80,457.00000000000006,166.0
81,457.00000000000006,164.99999999999997
82,457.00000000000006,164.0
83,457.00000000000006,163.0
84,455.99999999999994,162.0
85,455.99999999999994,161.0
86,455.99999999999994,160.0
87,455.99999999999994,159.0
88,455.99999999999994,158.0
89,455.99999999999994,157.0
90,455.99999999999994,156.0
91,455.99999999999994,155.0
92,455.0,154.0
93,455.0,153.0
